id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
4084,287,8/29/2013 9:41,Mountain View City Hall,27,8/29/2013 9:46,Mountain View City Hall,27,138,Customer,97214
4435,418,8/29/2013 12:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/29/2013 13:02,Washington at Kearney,46,548,Customer,2142
4788,563,8/29/2013 17:16,Spear at Folsom,49,8/29/2013 17:25,Embarcadero at Sansome,60,558,Subscriber,94102
4624,697,8/29/2013 15:01,University and Emerson,35,8/29/2013 15:13,California Ave Caltrain Station,36,168,Customer,94306
4375,880,8/29/2013 12:26,California Ave Caltrain Station,36,8/29/2013 12:41,University and Emerson,35,161,Subscriber,94040
4826,1098,8/29/2013 17:38,Commercial at Montgomery,45,8/29/2013 17:57,San Francisco Caltrain (Townsend at 4th),70,384,Subscriber,94107
4315,1432,8/29/2013 12:07,Townsend at 7th,65,8/29/2013 12:31,5th at Howard,57,538,Customer,37206
4225,21612,8/29/2013 11:18,Powell Street BART,39,8/29/2013 17:18,Market at 10th,67,464,Customer,58553
5290,327,8/30/2013 10:38,Market at Sansome,77,8/30/2013 10:44,2nd at Folsom,62,442,Customer,94608
5396,459,8/30/2013 11:30,South Van Ness at Market,66,8/30/2013 11:38,Market at 4th,76,562,Subscriber,94122
5484,585,8/30/2013 12:08,2nd at Townsend,61,8/30/2013 12:18,Beale at Market,56,477,Customer,
6231,750,8/30/2013 17:23,Yerba Buena Center of the Arts (3rd @ Howard),68,8/30/2013 17:35,Davis at Jackson,42,573,Customer,94941
6355,995,8/30/2013 19:00,Embarcadero at Sansome,60,8/30/2013 19:16,Davis at Jackson,42,506,Customer,94107
6374,1333,8/30/2013 19:18,Howard at 2nd,63,8/30/2013 19:40,Embarcadero at Vallejo,48,489,Customer,70129
6093,4528,8/30/2013 16:23,Beale at Market,56,8/30/2013 17:38,Embarcadero at Sansome,60,440,Customer,94102
6483,221,8/31/2013 0:23,Broadway at Main,25,8/31/2013 0:27,Franklin at Maple,21,207,Subscriber,94063
6691,535,8/31/2013 11:36,South Van Ness at Market,66,8/31/2013 11:45,Market at 4th,76,444,Subscriber,94103
6558,735,8/31/2013 10:03,Powell at Post (Union Square),71,8/31/2013 10:15,Market at 10th,67,490,Customer,20016
7357,1006,8/31/2013 18:22,Beale at Market,56,8/31/2013 18:39,San Francisco Caltrain (Townsend at 4th),70,624,Customer,94610
7161,1300,8/31/2013 15:54,Embarcadero at Sansome,60,8/31/2013 16:16,South Van Ness at Market,66,557,Customer,94131
6623,1948,8/31/2013 11:04,Steuart at Market,74,8/31/2013 11:37,Steuart at Market,74,366,Customer,85251
6548,10243,8/31/2013 9:53,Clay at Battery,41,8/31/2013 12:43,Clay at Battery,41,607,Customer,93464
7485,893,9/1/2013 8:30,Powell at Post (Union Square),71,9/1/2013 8:45,Harry Bridges Plaza (Ferry Building),50,523,Customer,
7614,4885,9/1/2013 11:13,Harry Bridges Plaza (Ferry Building),50,9/1/2013 12:35,Washington at Kearney,46,338,Customer,94709
7732,306,9/1/2013 12:19,Commercial at Montgomery,45,9/1/2013 12:25,Grant Avenue at Columbus Avenue,73,637,Customer,94111
7890,1085,9/1/2013 13:42,Market at Sansome,77,9/1/2013 14:00,2nd at Townsend,61,584,Customer,94122
8042,843,9/1/2013 15:03,San Jose City Hall,10,9/1/2013 15:17,San Pedro Square,6,640,Customer,95112
8204,85361,9/1/2013 16:16,Market at 10th,67,9/2/2013 15:58,Golden Gate at Polk,59,498,Customer,60056
8340,614,9/1/2013 18:14,Embarcadero at Sansome,60,9/1/2013 18:25,Harry Bridges Plaza (Ferry Building),50,568,Customer,
8444,1475,9/1/2013 22:33,2nd at Townsend,61,9/1/2013 22:58,Harry Bridges Plaza (Ferry Building),50,515,Subscriber,94107
8570,1692,9/2/2013 9:14,Spear at Folsom,49,9/2/2013 9:42,Harry Bridges Plaza (Ferry Building),50,361,Customer,
8737,1594,9/2/2013 11:55,Embarcadero at Bryant,54,9/2/2013 12:21,San Francisco Caltrain (Townsend at 4th),70,522,Customer,94123
