id,duration,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_id,subscription_type,zip_code
4558,298,8/29/2013 13:57,Embarcadero at Bryant,54,8/29/2013 14:02,Harry Bridges Plaza (Ferry Building),50,275,Subscriber,94109
5004,430,8/29/2013 20:05,Davis at Jackson,42,8/29/2013 20:12,Market at Sansome,77,377,Subscriber,94110
4835,598,8/29/2013 17:45,Market at Sansome,77,8/29/2013 17:55,Davis at Jackson,42,505,Customer,2360
4080,764,8/29/2013 9:36,South Van Ness at Market,66,8/29/2013 9:49,San Francisco Caltrain 2 (330 Townsend),69,315,Subscriber,94117
4633,963,8/29/2013 15:09,Howard at 2nd,63,8/29/2013 15:25,Golden Gate at Polk,59,388,Customer,94112
4954,1210,8/29/2013 19:15,Harry Bridges Plaza (Ferry Building),50,8/29/2013 19:35,South Van Ness at Market,66,394,Subscriber,94103
4920,1880,8/29/2013 18:48,Embarcadero at Sansome,60,8/29/2013 19:19,Davis at Jackson,42,459,Customer,
5745,266,8/30/2013 14:03,Golden Gate at Polk,59,8/30/2013 14:08,Market at 10th,67,630,Subscriber,94122
6453,414,8/30/2013 22:13,Market at Sansome,77,8/30/2013 22:20,Harry Bridges Plaza (Ferry Building),50,583,Customer,94510
6251,555,8/30/2013 17:39,Grant Avenue at Columbus Avenue,73,8/30/2013 17:48,Market at Sansome,77,523,Customer,94133
5904,723,8/30/2013 15:13,Spear at Folsom,49,8/30/2013 15:25,Grant Avenue at Columbus Avenue,73,339,Subscriber,94133
6302,954,8/30/2013 18:18,Clay at Battery,41,8/30/2013 18:34,San Francisco Caltrain 2 (330 Townsend),69,550,Customer,94107
6375,1324,8/30/2013 19:18,Howard at 2nd,63,8/30/2013 19:40,Embarcadero at Vallejo,48,486,Customer,
6413,5334,8/30/2013 20:13,Paseo de San Antonio,7,8/30/2013 21:42,St James Park,13,88,Customer,95111
7330,279,8/31/2013 18:02,Embarcadero at Bryant,54,8/31/2013 18:07,Embarcadero at Folsom,51,514,Subscriber,94105
7438,566,8/31/2013 22:17,Howard at 2nd,63,8/31/2013 22:27,5th at Howard,57,570,Customer,94107
7378,816,8/31/2013 18:50,Post at Kearney,47,8/31/2013 19:03,South Van Ness at Market,66,593,Customer,33040
7059,1095,8/31/2013 14:53,San Francisco City Hall,58,8/31/2013 15:11,San Francisco City Hall,58,519,Customer,94114
6841,1494,8/31/2013 13:07,Embarcadero at Sansome,60,8/31/2013 13:31,Embarcadero at Sansome,60,524,Customer,
7091,3521,8/31/2013 15:08,Embarcadero at Bryant,54,8/31/2013 16:06,Powell at Post (Union Square),71,619,Customer,94133
6633,79154,8/31/2013 11:09,Steuart at Market,74,9/1/2013 9:08,Steuart at Market,74,484,Customer,14169
7565,936,9/1/2013 10:44,Spear at Folsom,49,9/1/2013 10:59,San Francisco Caltrain (Townsend at 4th),70,411,Customer,94105
7694,4177,9/1/2013 12:03,Powell at Post (Union Square),71,9/1/2013 13:12,Powell at Post (Union Square),71,616,Customer,98403
7862,15679,9/1/2013 13:29,2nd at Folsom,62,9/1/2013 17:51,2nd at Folsom,62,567,Customer,94105
8013,1674,9/1/2013 14:55,Harry Bridges Plaza (Ferry Building),50,9/1/2013 15:23,Davis at Jackson,42,513,Customer,94608
8191,2890,9/1/2013 16:13,Market at 4th,76,9/1/2013 17:01,Embarcadero at Sansome,60,384,Customer,95121
8343,1833,9/1/2013 18:16,Embarcadero at Folsom,51,9/1/2013 18:47,5th at Howard,57,433,Customer,90742
8454,505,9/1/2013 22:53,Steuart at Market,74,9/1/2013 23:02,Spear at Folsom,49,324,Customer,94105
8595,2313,9/2/2013 9:56,Redwood City Caltrain Station,22,9/2/2013 10:34,Redwood City Caltrain Station,22,239,Customer,94062
8767,1679,9/2/2013 12:18,Civic Center BART (7th at Market),72,9/2/2013 12:46,Embarcadero at Vallejo,48,603,Customer,
8903,628,9/2/2013 13:37,Embarcadero at Vallejo,48,9/2/2013 13:48,Grant Avenue at Columbus Avenue,73,357,Customer,94043
9041,574,9/2/2013 15:07,Steuart at Market,74,9/2/2013 15:16,Market at 4th,76,386,Customer,94133
9159,240,9/2/2013 16:52,Mechanics Plaza (Market at Battery),75,9/2/2013 16:56,Commercial at Montgomery,45,575,Customer,94133
9288,993,9/2/2013 19:38,Embarcadero at Sansome,60,9/2/2013 19:54,Harry Bridges Plaza (Ferry Building),50,607,Subscriber,32137
